"seen","have","manually_corrected_title","tags_csv_list","ended_with_right_paren","type_of_media","source_of_item","who_csv_list","aka_slsh_list","characters_csv_list","video_wrapper","series_in","imdb_id","imdb_added_to_list_on","imdb_changed_on_list_on","release_year","imdb_rating","runtime_in_minutes","votes","released_on","directors_csv_list","imdb_my_rating","imd_my_rating_made_on","date_watched","last_save_time","creation_date"
"y","","*batteries not included (1987)","Comedy, Family, Fantasy, Sci-Fi","y","Movie","IMDB:Ratings",,,,,,"tt0092494",,,"1987","6.6","106","37104","12/18/1987 12:00:00 AM","Matthew Robbins","6","10/27/2023 12:00:00 AM",,"45316.63454861111","45227.53674768518"
"y","",":20 Minute Workout (1982)","Exercise","y","TV Series","TV",,,,,,,,,,,,,,,,,,"45316.63454861111","45227.53674768518"
"x","","‘night, Mother (1986)","Suicide, Drama","y","Movie","Keep",,,,,,,,,,,,,,,,,,"45316.63454861111","45227.53674768518"
,"","10 (1979)","Comedy","y","Movie","Keep",,,,,,,,,,,,,,,,,,"45316.63454861111","45227.53674768518"
"y","","10 Things I Hate About You (1999)","Comedy, Romance","y","Movie","Keep",,,,,,,,,,,,,,,,,,"45316.63454861111","45227.53674768518"
,"","10,000 Days (2010)","Action, Drama, Sci-Fi","y","TV Series","IMDB: Watch List",,,,,,"tt1697785","6/5/2023 12:00:00 AM","6/5/2023 12:00:00 AM","2010","6.7",,"104","12/31/2010 12:00:00 AM",,,,,"45316.63454861111","45227.53674768518"
"y","","101 Dalmations (1961)","Animated","y","Movie","Keep",,,,,,,,,,,,,,,,,,"45316.63454861111","45227.53674768518"
"y","","12 Angry Men (1957)","Crime, Drama","y","Movie","IMDB:Ratings",,,,,,"tt0050083",,,"1957","9","96","837978","4/10/1957 12:00:00 AM","Sidney Lumet","8","10/29/2023 12:00:00 AM",,"45316.63454861111","45227.53674768518"
"?","","12 Mighty Orphans (2021)","History, Sport","y","Movie","IMDB:Ratings",,,,,,"tt8482584",,,"2021","6.9","118","7902","6/11/2021 12:00:00 AM","Ty Roberts","6","10/26/2023 12:00:00 AM",,"45316.63454861111","45227.53674768518"
"y","","12 Monkeys (1995)","Time Travel","y","Movie","Keep",,,,,,,,,,,,,,,,,,"45316.63454861111","45227.53674768518"
,"","12 Monkeys (2015)","Adventure, Drama, Mystery, Sci-Fi, Thriller","y","TV Series","IMDB: Watch List",,,,,,"tt3148266","6/5/2023 12:00:00 AM","6/5/2023 12:00:00 AM","2015","7.7","42","47581","1/16/2015 12:00:00 AM",,,,,"45316.63454861111","45227.53674768518"
,"","12 Strong (2018)","Action, Drama, History, War","y","Movie","IMDB: Watch List",,,,,,"tt1413492","10/26/2023 12:00:00 AM","10/26/2023 12:00:00 AM","2018","6.5","130","89285","1/16/2018 12:00:00 AM","Nicolai Fuglsig",,,,"45316.63454861111","45227.53674768518"
"y","","13 Going on 30 (2004)","Romance, Growing Up","y","Movie","Keep",,,,,,,,,,,,,,,,,,"45316.63454861111","45227.53674768518"
"y","","13 Hours: The Secret Soldiers of Benghazi (2016)","Action, Drama, History, Thriller, War","y","Movie","IMDB:Ratings",,,,,,"tt4172430",,,"2016","7.3","144","154406","1/12/2016 12:00:00 AM","Michael Bay","8","10/26/2023 12:00:00 AM",,"45316.63454861111","45227.53674768518"
"?","","15 Minutes (2001)",,"y","Movie","Keep",,,,,,,,,,,,,,,,,,"45316.63454861111","45227.53674768518"
"y","","16 Blocks (2006)",,"y","Movie","Keep",,,,,,,,,,,,,,,,,,"45316.63454861111","45227.53674768518"
"y","","17 Again (2009)",,"y","Movie","Keep",,,,,,,,,,,,,,,,,,"45316.63454861111","45227.53674768518"
